Summary

-------character entropy-------
ISLAND: entropy = 0.07913709841457801, entropy normalised = 0.01318951640242967
FAY: entropy = 0.022414964917792303, entropy normalised = 0.007471654972597434
ASSIGNATION: entropy = 0.1685499532704077, entropy normalised = 0.015322723024582518
PIT: entropy = 0.06951798352952657, entropy normalised = 0.023172661176508857
PENDULUM: entropy = 0.038818636943816, entropy normalised = 0.004852329617977
PREMATURE: entropy = 0.06954336858960329, entropy normalised = 0.007727040954400365
BURIAL: entropy = 0.07289339088039512, entropy normalised = 0.012148898480065853
DOMAIN: entropy = 0.08092782046953627, entropy normalised = 0.013487970078256044
ARNHEIM: entropy = 0.08861577371388134, entropy normalised = 0.012659396244840191
LANDOR’S: entropy = 0.049969641328018434, entropy normalised = 0.006246205166002304
COTTAGE: entropy = 0.07475262121392502, entropy normalised = 0.010678945887703574
WILLIAM: entropy = 0.12328961526906966, entropy normalised = 0.017612802181295666
WILSO: entropy = 0.0662480397488344, entropy normalised = 0.013249607949766882
TELL-TALE: entropy = 0.09163534621542056, entropy normalised = 0.01018170513504673
HEART.: entropy = 0.11163365512804795, entropy normalised = 0.01860560918800799
BERENICE: entropy = 0.08213597726287877, entropy normalised = 0.010266997157859847
ELEONORA: entropy = 0.04967893585100121, entropy normalised = 0.006209866981375151
NOTES: entropy = 0.04458531809393787, entropy normalised = 0.008917063618787574
TO: entropy = 0.025669091281869307, entropy normalised = 0.012834545640934654
SECOND: entropy = 0.033335576682262696, entropy normalised = 0.0055559294470437825
Nil: entropy = 0.44352701206833345, entropy normalised = 0.14784233735611116
sapientiæ: entropy = 2.0701539073156074, entropy normalised = 0.23001710081284527
odiosius: entropy = 1.8527128813240932, entropy normalised = 0.23158911016551165
acumine: entropy = 1.5741554367010844, entropy normalised = 0.22487934810015492
nimio.—_Seneca_.: entropy = 2.7685884526564446, entropy normalised = 0.1730367782910278
At: entropy = 0.3233675267633459, entropy normalised = 0.16168376338167295
Paris,: entropy = 1.110995211529112, entropy normalised = 0.18516586858818532
just: entropy = 0.6963678485638044, entropy normalised = 0.1740919621409511
after: entropy = 1.3179219247066984, entropy normalised = 0.2635843849413397
dark: entropy = 0.7267198926988813, entropy normalised = 0.18167997317472032
one: entropy = 0.9002398972414192, entropy normalised = 0.30007996574713974
gusty: entropy = 0.8917144594302016, entropy normalised = 0.1783428918860403
evening: entropy = 1.6879911064948627, entropy normalised = 0.24114158664212323
in: entropy = 0.5167464847291579, entropy normalised = 0.2583732423645789
the: entropy = 0.9142438498089065, entropy normalised = 0.30474794993630216
autumn: entropy = 1.263021149745259, entropy normalised = 0.21050352495754318
18-,: entropy = 0.11795412539766262, entropy normalised = 0.029488531349415655
I: entropy = 0.04344467106358838, entropy normalised = 0.04344467106358838
was: entropy = 0.6238929750797423, entropy normalised = 0.20796432502658077
enjoying: entropy = 1.6259885212248404, entropy normalised = 0.20324856515310505
twofold: entropy = 1.4540437636534345, entropy normalised = 0.20772053766477636
luxury: entropy = 0.8158309984775493, entropy normalised = 0.13597183307959154
meditation: entropy = 2.6248630301368574, entropy normalised = 0.26248630301368575
and: entropy = 0.72107709129474, entropy normalised = 0.24035903043158
a: entropy = 0.2754707398611737, entropy normalised = 0.2754707398611737
meerschaum,: entropy = 2.3704433349680105, entropy normalised = 0.2154948486334555
company: entropy = 1.2772441748759575, entropy normalised = 0.18246345355370822
with: entropy = 0.9089892596065674, entropy normalised = 0.22724731490164185
my: entropy = 0.2353705641726443, entropy normalised = 0.11768528208632215
friend: entropy = 1.4351041085842224, entropy normalised = 0.23918401809737042
C.: entropy = 0.06208823958568061, entropy normalised = 0.031044119792840306
Auguste: entropy = 1.3178080189417776, entropy normalised = 0.18825828842025394
Dupin,: entropy = 0.8716587091826473, entropy normalised = 0.14527645153044122
his: entropy = 0.7284472162449614, entropy normalised = 0.2428157387483205
little: entropy = 1.6103492055783568, entropy normalised = 0.26839153426305945
back: entropy = 0.5297446165201327, entropy normalised = 0.13243615413003318
library,: entropy = 1.4662469246634369, entropy normalised = 0.1832808655829296
or: entropy = 0.4992767159653371, entropy normalised = 0.24963835798266856
book-closet,: entropy = 2.2758270312134203, entropy normalised = 0.18965225260111837
_au: entropy = 0.43207826729124843, entropy normalised = 0.1440260890970828
troisième_,: entropy = 2.183453525600782, entropy normalised = 0.19849577505461655
No.: entropy = 0.3316245453420679, entropy normalised = 0.11054151511402265
33,: entropy = 0.10650711480154065, entropy normalised = 0.03550237160051355
_Rue: entropy = 0.5306805240927671, entropy normalised = 0.13267013102319178
Dunôt,: entropy = 0.8219920299171992, entropy normalised = 0.13699867165286653
Faubourg: entropy = 1.2485376451047228, entropy normalised = 0.15606720563809034
St.: entropy = 0.3743507780370765, entropy normalised = 0.1247835926790255
Germain_.: entropy = 1.6046873008398344, entropy normalised = 0.17829858898220383
For: entropy = 0.5042088371524178, entropy normalised = 0.16806961238413928
hour: entropy = 0.8751488941041323, entropy normalised = 0.21878722352603308
at: entropy = 0.5845335259658215, entropy normalised = 0.29226676298291077
least: entropy = 1.3767194998512085, entropy normalised = 0.27534389997024167
we: entropy = 0.48126544108764496, entropy normalised = 0.24063272054382248
had: entropy = 0.6943063338297384, entropy normalised = 0.2314354446099128
maintained: entropy = 2.583620034140603, entropy normalised = 0.2583620034140603
profound: entropy = 1.5889608561186692, entropy normalised = 0.19862010701483365
silence;: entropy = 1.8312641103171878, entropy normalised = 0.22890801378964848
while: entropy = 1.1536409584065013, entropy normalised = 0.23072819168130027
each,: entropy = 1.1199849441772822, entropy normalised = 0.22399698883545643
to: entropy = 0.577350862176807, entropy normalised = 0.2886754310884035
any: entropy = 0.6376395514619742, entropy normalised = 0.2125465171539914
casual: entropy = 1.2485973971275017, entropy normalised = 0.20809956618791695
observer,: entropy = 1.967459721776744, entropy normalised = 0.21860663575297157
might: entropy = 1.033520082038935, entropy normalised = 0.206704016407787
have: entropy = 0.947987219533087, entropy normalised = 0.23699680488327174
seemed: entropy = 1.67122367753586, entropy normalised = 0.27853727958931
intently: entropy = 2.0507553534438356, entropy normalised = 0.25634441918047945
exclusively: entropy = 2.064560821497886, entropy normalised = 0.18768734740889872
occupied: entropy = 1.5949436612662582, entropy normalised = 0.19936795765828227
curling: entropy = 1.307562242825593, entropy normalised = 0.18679460611794188
eddies: entropy = 1.6071486873187233, entropy normalised = 0.26785811455312053
smoke: entropy = 1.0472044266244103, entropy normalised = 0.20944088532488206
that: entropy = 1.1274626809248463, entropy normalised = 0.28186567023121156
oppressed: entropy = 2.1092159874716407, entropy normalised = 0.2343573319412934
atmosphere: entropy = 2.5353152077226975, entropy normalised = 0.25353152077226976
chamber.: entropy = 1.5227805168445046, entropy normalised = 0.19034756460556307
myself,: entropy = 1.263195913582468, entropy normalised = 0.1804565590832097
however,: entropy = 1.7576129482515146, entropy normalised = 0.21970161853143932
mentally: entropy = 1.8166554914171262, entropy normalised = 0.22708193642714078
discussing: entropy = 2.0506668633440976, entropy normalised = 0.20506668633440978
certain: entropy = 1.8383621745232697, entropy normalised = 0.26262316778903855
topics: entropy = 1.3094093780179934, entropy normalised = 0.21823489633633222
which: entropy = 0.9685716714415272, entropy normalised = 0.19371433428830545
formed: entropy = 1.320484578818446, entropy normalised = 0.22008076313640768
matter: entropy = 1.6297385257047514, entropy normalised = 0.27162308761745857
for: entropy = 0.6303617799631545, entropy normalised = 0.21012059332105149
conversation: entropy = 2.9413823579354266, entropy normalised = 0.24511519649461888
between: entropy = 1.877798502954821, entropy normalised = 0.26825692899354586
us: entropy = 0.3804772982652235, entropy normalised = 0.19023864913261174
an: entropy = 0.5361078661805523, entropy normalised = 0.26805393309027614
earlier: entropy = 1.9185865578117722, entropy normalised = 0.27408379397311033
period: entropy = 1.4143688337045568, entropy normalised = 0.23572813895075947
evening;: entropy = 1.7042292342623937, entropy normalised = 0.2130286542827992
mean: entropy = 1.0412614399216562, entropy normalised = 0.26031535998041405
affair: entropy = 1.3002096060209396, entropy normalised = 0.21670160100348992
Rue: entropy = 0.5160788059471106, entropy normalised = 0.1720262686490369
Morgue,: entropy = 1.2253050505979923, entropy normalised = 0.17504357865685605
mystery: entropy = 1.486739859282579, entropy normalised = 0.21239140846893984
attending: entropy = 2.3279065328619835, entropy normalised = 0.2586562814291093
murder: entropy = 1.2941058879260658, entropy normalised = 0.21568431465434432
Marie: entropy = 1.14139426220684, entropy normalised = 0.228278852441368
Rogêt.: entropy = 0.7391846737516335, entropy normalised = 0.12319744562527225
looked: entropy = 1.3105511499934295, entropy normalised = 0.2184251916655716
upon: entropy = 0.7736298510413271, entropy normalised = 0.19340746276033177
it,: entropy = 0.6697264560410465, entropy normalised = 0.22324215201368217
therefore,: entropy = 2.6227779708916215, entropy normalised = 0.26227779708916216
as: entropy = 0.5139422288419789, entropy normalised = 0.25697111442098947
something: entropy = 2.172231468261159, entropy normalised = 0.2413590520290177
coincidence,: entropy = 2.738270459126737, entropy normalised = 0.22818920492722808
when: entropy = 0.9757689362614004, entropy normalised = 0.2439422340653501
door: entropy = 0.9525340171516838, entropy normalised = 0.23813350428792096
our: entropy = 0.6412825252497554, entropy normalised = 0.21376084174991847
apartment: entropy = 2.2685452312506746, entropy normalised = 0.25206058125007497
thrown: entropy = 1.4127937434815039, entropy normalised = 0.23546562391358397
open: entropy = 1.0029387366067903, entropy normalised = 0.2507346841516976
admitted: entropy = 2.0247976944497283, entropy normalised = 0.25309971180621604
old: entropy = 0.6356570912410469, entropy normalised = 0.21188569708034896
acquaintance,: entropy = 2.810449103227941, entropy normalised = 0.21618839255599548
Monsieur: entropy = 1.7753260230024277, entropy normalised = 0.22191575287530346
G——,: entropy = 0.16252092172769592, entropy normalised = 0.04063023043192398
Prefect: entropy = 1.5539453816381936, entropy normalised = 0.2219921973768848
Parisian: entropy = 1.7986581245928241, entropy normalised = 0.22483226557410302
police.: entropy = 1.3739081935031767, entropy normalised = 0.19627259907188238
We: entropy = 0.37840505305028366, entropy normalised = 0.18920252652514183
gave: entropy = 0.8147635404576183, entropy normalised = 0.20369088511440459
him: entropy = 0.6238146061553786, entropy normalised = 0.2079382020517929
hearty: entropy = 1.52223491484468, entropy normalised = 0.25370581914078
welcome;: entropy = 1.5881238378083695, entropy normalised = 0.1985154797260462
there: entropy = 1.516547184551966, entropy normalised = 0.3033094369103932
nearly: entropy = 1.4223426762597338, entropy normalised = 0.23705711270995564
half: entropy = 0.822821962768068, entropy normalised = 0.205705490692017
much: entropy = 0.6444898861152483, entropy normalised = 0.16112247152881207
entertaining: entropy = 3.2619871272200127, entropy normalised = 0.2718322606016677
contemptible: entropy = 2.7837096198502866, entropy normalised = 0.23197580165419054
about: entropy = 1.0790311710657854, entropy normalised = 0.2158062342131571
man,: entropy = 0.7745010565983941, entropy normalised = 0.19362526414959852
not: entropy = 0.8379879884961855, entropy normalised = 0.2793293294987285
seen: entropy = 1.241738004999947, entropy normalised = 0.3104345012499867
several: entropy = 1.7372954644572751, entropy normalised = 0.2481850663510393
years.: entropy = 1.2760958545325152, entropy normalised = 0.21268264242208587
been: entropy = 1.0874702757625283, entropy normalised = 0.2718675689406321
sitting: entropy = 1.7300955941079466, entropy normalised = 0.24715651344399236
dark,: entropy = 0.8312742042255007, entropy normalised = 0.16625484084510014
Dupin: entropy = 0.7671043976560279, entropy normalised = 0.1534208795312056
now: entropy = 0.638875948629301, entropy normalised = 0.21295864954310031
arose: entropy = 1.3845336396571977, entropy normalised = 0.27690672793143956
purpose: entropy = 1.4564663878111843, entropy normalised = 0.2080666268301692
lighting: entropy = 1.6994701677104787, entropy normalised = 0.21243377096380983
lamp,: entropy = 0.7989625596990868, entropy normalised = 0.15979251193981736
but: entropy = 0.5352723551324525, entropy normalised = 0.17842411837748418
sat: entropy = 0.8230050149466268, entropy normalised = 0.2743350049822089
down: entropy = 0.8238451737434889, entropy normalised = 0.20596129343587222
again,: entropy = 1.272884965757033, entropy normalised = 0.21214749429283883
without: entropy = 1.6283459310677926, entropy normalised = 0.23262084729539895
doing: entropy = 1.070646475694413, entropy normalised = 0.2141292951388826
so,: entropy = 0.6113138765795838, entropy normalised = 0.2037712921931946
G.‘s: entropy = 0.30314365870428994, entropy normalised = 0.07578591467607249
saying: entropy = 1.2328630886314669, entropy normalised = 0.20547718143857782
he: entropy = 0.6051810637042585, entropy normalised = 0.30259053185212925
called: entropy = 1.3313330690198737, entropy normalised = 0.22188884483664562
consult: entropy = 1.53564390590134, entropy normalised = 0.21937770084304858
us,: entropy = 0.4850316097918429, entropy normalised = 0.16167720326394763
rather: entropy = 1.651691869456436, entropy normalised = 0.2752819782427393
ask: entropy = 0.5492335166723208, entropy normalised = 0.1830778388907736
opinion: entropy = 1.672767960968005, entropy normalised = 0.23896685156685787
friend,: entropy = 1.5396584201108419, entropy normalised = 0.2199512028729774
some: entropy = 1.0119131387940683, entropy normalised = 0.2529782846985171
official: entropy = 1.635326279888457, entropy normalised = 0.20441578498605711
business: entropy = 1.8296852155492598, entropy normalised = 0.22871065194365747
occasioned: entropy = 2.393106443849986, entropy normalised = 0.2393106443849986
great: entropy = 1.2874795504877894, entropy normalised = 0.2574959100975579
deal: entropy = 1.014154449879943, entropy normalised = 0.25353861246998577
trouble.: entropy = 1.6465821616684262, entropy normalised = 0.20582277020855327
“If: entropy = 0.18757932301780733, entropy normalised = 0.06252644100593578
it: entropy = 0.5651721445144271, entropy normalised = 0.28258607225721355
is: entropy = 0.4945808473905845, entropy normalised = 0.24729042369529225
point: entropy = 1.196796186271336, entropy normalised = 0.23935923725426722
requiring: entropy = 1.8589543294983562, entropy normalised = 0.2065504810553729
reflection,”: entropy = 2.632283540223283, entropy normalised = 0.2193569616852736
observed: entropy = 1.8168859954711343, entropy normalised = 0.22711074943389178
forebore: entropy = 1.956471645371641, entropy normalised = 0.24455895567145514
enkindle: entropy = 1.9226733037475292, entropy normalised = 0.24033416296844115
wick,: entropy = 0.6406845330897346, entropy normalised = 0.1281369066179469
“we: entropy = 0.49431502904404656, entropy normalised = 0.1647716763480155
shall: entropy = 1.112608177805756, entropy normalised = 0.22252163556115118
examine: entropy = 1.6855847578607301, entropy normalised = 0.24079782255153287
better: entropy = 1.6759473615456235, entropy normalised = 0.27932456025760394
dark.”: entropy = 0.7967886674249456, entropy normalised = 0.13279811123749094
“That: entropy = 0.8521221223849821, entropy normalised = 0.1704244244769964
another: entropy = 1.9496284319547958, entropy normalised = 0.2785183474221137
your: entropy = 0.7428142105311772, entropy normalised = 0.1857035526327943
odd: entropy = 0.6382265263005346, entropy normalised = 0.2127421754335115
notions,”: entropy = 1.9777985188649367, entropy normalised = 0.21975539098499297
said: entropy = 0.9550208123659458, entropy normalised = 0.23875520309148646
Prefect,: entropy = 1.658499693164813, entropy normalised = 0.20731246164560163
who: entropy = 0.6121051911642994, entropy normalised = 0.20403506372143312
fashion: entropy = 1.66392822249549, entropy normalised = 0.23770403178507002
calling: entropy = 1.3924383235638707, entropy normalised = 0.19891976050912438
every: entropy = 1.1424851308420179, entropy normalised = 0.22849702616840356
thing: entropy = 1.160318329467091, entropy normalised = 0.23206366589341818
“odd”: entropy = 0.6630262833169458, entropy normalised = 0.13260525666338915
beyond: entropy = 1.2709445673804154, entropy normalised = 0.21182409456340257
comprehension,: entropy = 3.2357865094894214, entropy normalised = 0.23112760782067296
thus: entropy = 0.9234064532242483, entropy normalised = 0.23085161330606208
lived: entropy = 1.0621284843962033, entropy normalised = 0.21242569687924068
amid: entropy = 0.8503882022763631, entropy normalised = 0.21259705056909078
absolute: entropy = 1.8712171449511725, entropy normalised = 0.23390214311889657
legion: entropy = 1.439391735484807, entropy normalised = 0.23989862258080116
“oddities.”: entropy = 2.1524125757378934, entropy normalised = 0.19567387052162666
“Very: entropy = 0.7206766815519934, entropy normalised = 0.14413533631039868
true,”: entropy = 1.169676410718755, entropy normalised = 0.19494606845312581
supplied: entropy = 1.5806680454245143, entropy normalised = 0.1975835056780643
visitor: entropy = 1.6263651238380035, entropy normalised = 0.2323378748340005
pipe,: entropy = 0.9373760435170226, entropy normalised = 0.18747520870340453
rolled: entropy = 1.4203602160388065, entropy normalised = 0.23672670267313442
