Summary

-------character entropy-------
im: entropy = 0.40087760882995327, entropy normalised = 0.20043880441497663
temperirten: entropy = 3.000037172587276, entropy normalised = 0.2727306520533887
nördlichen,: entropy = 2.425480865245537, entropy normalised = 0.220498260476867
tropischen: entropy = 2.2939418598165147, entropy normalised = 0.22939418598165146
antarktischen: entropy = 3.0998448457485215, entropy normalised = 0.23844960351911704
Amerika: entropy = 1.3742514486359854, entropy normalised = 0.19632163551942647
6.: entropy = 0.09114840447754004, entropy normalised = 0.04557420223877002
*I.: entropy = 0.11516390589452588, entropy normalised = 0.038387968631508625
systematische: entropy = 2.9648130569681155, entropy normalised = 0.2280625428437012
Zusammensetzung: entropy = 3.141686103465838, entropy normalised = 0.20944574023105586
Epiphytengenossenschaft: entropy = 4.980673670888286, entropy normalised = 0.21655102916905591
Amerika.*: entropy = 1.4721300650280826, entropy normalised = 0.1635700072253425
_Verzeichniss: entropy = 2.8949970256889657, entropy normalised = 0.2226920788991512
Gattungen:_: entropy = 2.0568552524844845, entropy normalised = 0.18698684113495315
Lycopodiaceae,: entropy = 2.5496120399254307, entropy normalised = 0.18211514570895934
Filices,: entropy = 1.6473442552987043, entropy normalised = 0.20591803191233804
Liliaceae,: entropy = 2.261950943164668, entropy normalised = 0.22619509431646678
Amaryllidaceae: entropy = 2.89947055772367, entropy normalised = 0.207105039837405
11;: entropy = 0.03711828411105916, entropy normalised = 0.012372761370353055
Bromeliaceae,: entropy = 2.9180952805206593, entropy normalised = 0.2244688677323584
Cyclanthaceae,: entropy = 2.844880856972536, entropy normalised = 0.20320577549803828
Araceae: entropy = 1.7143618945779764, entropy normalised = 0.24490884208256805
12;: entropy = 0.030961773129218873, entropy normalised = 0.010320591043072957
Zingiberaceae,: entropy = 3.296140502797877, entropy normalised = 0.2354386073427055
Orchidaceae: entropy = 2.5176058206027996, entropy normalised = 0.22887325641843634
13;: entropy = 0.02948762078691777, entropy normalised = 0.00982920692897259
Urticaceae,: entropy = 2.431714611271286, entropy normalised = 0.221064964661026
Piperaceae,: entropy = 2.5669951002566704, entropy normalised = 0.23336319093242458
Clusiaceae,: entropy = 2.371564217703303, entropy normalised = 0.21559674706393664
Bombaceae: entropy = 1.799917389182209, entropy normalised = 0.19999082102024543
16;: entropy = 0.02926584735788159, entropy normalised = 0.009755282452627197
Celastraceae,: entropy = 3.0299970159390095, entropy normalised = 0.23307669353376997
Aquifoliaceae,: entropy = 2.6584457500808125, entropy normalised = 0.18988898214862945
Araliaceae,: entropy = 2.4695933573966524, entropy normalised = 0.2245084870360593
Cornaceae,: entropy = 2.240131376499182, entropy normalised = 0.2240131376499182
Saxifragaceae,: entropy = 2.723677896113598, entropy normalised = 0.1945484211509713
Cactaceae,: entropy = 2.118879965230703, entropy normalised = 0.2118879965230703
Melastomaceae,: entropy = 3.024736316860264, entropy normalised = 0.21605259406144744
Onagraceae,: entropy = 2.4443315141201984, entropy normalised = 0.22221195582910894
Rosaceae: entropy = 1.8036508707543062, entropy normalised = 0.22545635884428827
17;: entropy = 0.028703408359229694, entropy normalised = 0.009567802786409898
Ericaceae,: entropy = 2.2326401069880215, entropy normalised = 0.22326401069880214
Myrsinaceae,: entropy = 2.6498774816338693, entropy normalised = 0.2208231234694891
Loganiaceae,: entropy = 2.6138207446671355, entropy normalised = 0.21781839538892797
Asclepiadaceae,: entropy = 3.3052558325922803, entropy normalised = 0.22035038883948535
Solanaceae,: entropy = 2.3896686818099138, entropy normalised = 0.2172426074372649
Scrophulariaceae,: entropy = 3.4430100710802525, entropy normalised = 0.20253000418119133
Lentibulariaceae: entropy = 3.8495712797744828, entropy normalised = 0.24059820498590517
18;: entropy = 0.03278190807764573, entropy normalised = 0.010927302692548576
Gesneraceae,: entropy = 3.1783259813990083, entropy normalised = 0.2648604984499174
Bignoniaceae,: entropy = 3.0267068640272936, entropy normalised = 0.23282360492517643
Verbenaceae,: entropy = 3.0305615690481127, entropy normalised = 0.25254679742067604
Rubiaceae,: entropy = 2.061142985334091, entropy normalised = 0.2061142985334091
Compositae: entropy = 1.851533430718352, entropy normalised = 0.1851533430718352
19.: entropy = 0.10179882199496129, entropy normalised = 0.033932940664987095
_Gleichartigkeit: entropy = 3.3230549216525085, entropy normalised = 0.20769093260328178
systematischen: entropy = 3.291490135795848, entropy normalised = 0.235106438271132
epiphytischen: entropy = 2.9275065704009813, entropy normalised = 0.2251928131077678
Genossenschaft: entropy = 3.1994740133699153, entropy normalised = 0.2285338580978511
östlichen: entropy = 2.0093274132179615, entropy normalised = 0.2232586014686624
westlichen: entropy = 2.4852143725975178, entropy normalised = 0.2485214372597518
Hemisphäre_: entropy = 2.08812033302973, entropy normalised = 0.18982912118452092
20.: entropy = 0.09968714543917706, entropy normalised = 0.03322904847972569
_Die: entropy = 0.745057768165732, entropy normalised = 0.186264442041433
durch: entropy = 0.9600764479738959, entropy normalised = 0.19201528959477918
die: entropy = 0.8976782125934838, entropy normalised = 0.2992260708644946
Structur: entropy = 1.4462543904426801, entropy normalised = 0.18078179880533501
Samen: entropy = 1.1142877622264904, entropy normalised = 0.2228575524452981
Früchte: entropy = 1.292480499290304, entropy normalised = 0.1846400713271863
bedingt_: entropy = 1.6790669592239003, entropy normalised = 0.20988336990298753
*II.: entropy = 0.13244919539695457, entropy normalised = 0.03311229884923864
Anpassungen: entropy = 2.488806799573433, entropy normalised = 0.22625516359758482
Epiphyten: entropy = 1.6788390612432202, entropy normalised = 0.1865376734714689
Standort.*: entropy = 1.6912311035866903, entropy normalised = 0.16912311035866903
_I.: entropy = 0.12536660551591458, entropy normalised = 0.04178886850530486
Allgemeines._: entropy = 2.8231246090131483, entropy normalised = 0.21716343146254988
Entstehung: entropy = 2.2531173101550928, entropy normalised = 0.22531173101550928
Epiphytengenossenschaft;: entropy = 4.992632580106145, entropy normalised = 0.2080263575044227
Ursachen: entropy = 1.8083905924915875, entropy normalised = 0.22604882406144844
Wirkungen: entropy = 1.9623898237172863, entropy normalised = 0.21804331374636515
epiphytischer: entropy = 2.8512099015731085, entropy normalised = 0.2193238385825468
Lebensweise: entropy = 2.9213709340513923, entropy normalised = 0.26557917582285384
28.: entropy = 0.10108764166206403, entropy normalised = 0.03369588055402135
Geschlechtliche: entropy = 3.3979464481334594, entropy normalised = 0.22652976320889728
ungeschlechtliche: entropy = 3.9871263001412687, entropy normalised = 0.23453684118478052
Fortpflanzung: entropy = 2.1737681499322834, entropy normalised = 0.16721293461017564
30.: entropy = 0.09821299309687596, entropy normalised = 0.03273766436562532
Allgemeine: entropy = 2.484383380010096, entropy normalised = 0.24843833800100962
Vegetationsorgane: entropy = 4.072759193820773, entropy normalised = 0.23957407022475136
32.: entropy = 0.09779335437133609, entropy normalised = 0.03259778479044536
Eintheilung: entropy = 2.537837134889881, entropy normalised = 0.230712466808171
nach: entropy = 0.8943765808208091, entropy normalised = 0.22359414520520227
dem: entropy = 0.7337499649339981, entropy normalised = 0.24458332164466604
Modus: entropy = 0.7347565789537609, entropy normalised = 0.14695131579075218
Ernährung: entropy = 1.7228725049981506, entropy normalised = 0.19143027833312784
vier: entropy = 0.9962496241937875, entropy normalised = 0.24906240604844687
Gruppen: entropy = 1.3491670394533135, entropy normalised = 0.1927381484933305
34.: entropy = 0.09557286451888145, entropy normalised = 0.031857621506293815
_II.: entropy = 0.14265189501834327, entropy normalised = 0.03566297375458582
Erste: entropy = 1.1492926436130366, entropy normalised = 0.2298585287226073
Gruppe._: entropy = 1.130571276639067, entropy normalised = 0.14132140957988337
Nicht: entropy = 0.8667431367171654, entropy normalised = 0.1733486273434331
angepasste: entropy = 2.4839093272326735, entropy normalised = 0.24839093272326734
35.: entropy = 0.095459067909321, entropy normalised = 0.031819689303107
Grosse: entropy = 1.2861993771742286, entropy normalised = 0.21436656286237143
Austrocknungsfähigkeit: entropy = 4.105949361769336, entropy normalised = 0.18663406189860618
gewisser: entropy = 2.02983206011765, entropy normalised = 0.25372900751470623
Wasseraufspeicherung: entropy = 4.471493215096316, entropy normalised = 0.22357466075481577
bei: entropy = 0.7888178281660534, entropy normalised = 0.2629392760553511
Epiphyten:: entropy = 1.6812697141604078, entropy normalised = 0.16812697141604077
alternde: entropy = 2.210680715909528, entropy normalised = 0.276335089488691
Blätter: entropy = 1.3594730811536744, entropy normalised = 0.19421044016481062
als: entropy = 0.6143640063719823, entropy normalised = 0.2047880021239941
Wasserspeicher: entropy = 3.404353195440089, entropy normalised = 0.2431680853885778
Peperomien: entropy = 2.4684392649970057, entropy normalised = 0.24684392649970058
Gesneraceen: entropy = 3.1999249750004615, entropy normalised = 0.2909022704545874
37;: entropy = 0.021072745035088297, entropy normalised = 0.007024248345029432
Knollen:: entropy = 1.5493942118003459, entropy normalised = 0.19367427647504323
Gesnera;: entropy = 1.8951312400478098, entropy normalised = 0.23689140500597622
Rubiaceen,: entropy = 2.171866420127084, entropy normalised = 0.21718664201270838
Vaccinieen,: entropy = 2.6869692720381475, entropy normalised = 0.24426993382164977
Melastomaceen,: entropy = 3.1354597516532574, entropy normalised = 0.22396141083237553
Utricularia.: entropy = 2.2996117230182698, entropy normalised = 0.19163431025152247
38;: entropy = 0.02515124475350433, entropy normalised = 0.00838374825116811
Intercellulargängen:: entropy = 4.309903925429612, entropy normalised = 0.21549519627148062
Philodendron: entropy = 2.649176863889092, entropy normalised = 0.22076473865742433
cannifolium: entropy = 2.245384729546134, entropy normalised = 0.20412588450419403
41;: entropy = 0.028741283276764236, entropy normalised = 0.009580427758921413
Orchideen: entropy = 2.2572346084942634, entropy normalised = 0.2508038453882515
42.: entropy = 0.09704701686118254, entropy normalised = 0.03234900562039418
Luftwurzeln: entropy = 1.9341467901787692, entropy normalised = 0.1758315263798881
Araceen: entropy = 1.8250853293709697, entropy normalised = 0.26072647562442425
46;: entropy = 0.02088884652358666, entropy normalised = 0.006962948841195553
Fehlen: entropy = 1.5483622569186424, entropy normalised = 0.25806037615310706
des: entropy = 0.8459351973383304, entropy normalised = 0.28197839911277683
Velamen: entropy = 1.6823050197287663, entropy normalised = 0.2403292885326809
Stenoptera,: entropy = 2.404570172741717, entropy normalised = 0.21859728843106518
Vorkommen: entropy = 1.5624928839713836, entropy normalised = 0.17361032044126484
desselben: entropy = 2.4949048196626333, entropy normalised = 0.27721164662918146
terrestrischen: entropy = 3.860041900949005, entropy normalised = 0.27571727863921464
